date,rainfall,average flow,max flow,min flow,fe flow
10/26/2016,1.12,16.91,32.25,6.42,15.57
10/26/2017,0,9.96,11.76,7.77,9.32
10/26/2018,0.32,10.64,23.92,5.95,9.86
10/26/2019,0,9.67,13.05,4.91,8.3
10/26/2020,0,9.65,15.62,1.36,8.27
10/26/2021,0.28,10.13,15.02,5.45,9.53
10/26/2022,0,11.32,15.12,3.4,10.53
10/26/2023,0,9.69,12.92,0.1,9.7
10/26/2024,,,,,
10/27/2015,0.01,9.14,12.78,8.42,8.09
10/27/2016,0.02,12.61,13.58,9.97,11.09
10/27/2017,0,9.6,13.05,5.98,9.02
10/27/2018,1.01,12.59,30.29,3.01,11.47
10/27/2019,0,10.45,12.99,5.67,8.96
10/27/2020,0,9.63,18.46,0,8.5
10/27/2021,0.38,11.9,17.67,6.39,11.33
10/27/2022,0,10.66,24.94,0,10.5
10/27/2023,0,9.82,16.03,2.58,9.08
10/27/2024,,,,,
10/28/2015,0.41,10.37,24.39,9,8.73
10/28/2016,0.01,11.88,12.22,9.97,11.09
10/28/2017,0,9.16,11.17,4.66,8.71
10/28/2018,0.57,12.54,21.61,5.7,11.79
10/28/2019,0,9.84,12.08,6.34,8.4
10/28/2020,0,9.34,12.29,6.26,8.16
10/28/2021,1.47,17.38,37.25,6.47,16.6
10/28/2022,0.25,10.55,22.64,5.74,9.94
10/28/2023,0,9.97,12.72,3.15,9.23
10/28/2024,,,,,
10/29/2015,0.27,10.96,15.2,5.05,9.24
10/29/2016,0.04,11.11,17.11,5.9,9.92
10/29/2017,0,9.2,12.07,4.46,8.72
10/29/2018,0.03,10.01,15.31,3.54,9.16
10/29/2019,0,9.55,26.87,2.24,8.29
10/29/2020,0,9.32,11.64,6.84,8.08
10/29/2021,0.35,13.1,17.95,11.25,12.88
10/29/2022,0,10.67,13.66,7,10
